LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,QUARTER,TIME,Inflation_rate
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,1,2000-Q1,3.257790368
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,2,2000-Q2,3.293834103
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,3,2000-Q3,3.468899522
USA,CPIFORECAST,TOT,AGRWTH,Q,2000,4,2000-Q4,3.443498912
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,1,2001-Q1,3.409758965
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,2,2001-Q2,3.324907641
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,3,2001-Q3,2.67822736
USA,CPIFORECAST,TOT,AGRWTH,Q,2001,4,2001-Q4,1.874880429
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,1,2002-Q1,1.23176047
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,2,2002-Q2,1.317275122
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,3,2002-Q3,1.576280728
USA,CPIFORECAST,TOT,AGRWTH,Q,2002,4,2002-Q4,2.253521127
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,1,2003-Q1,2.976413328
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,2,2003-Q2,2.005943536
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,3,2003-Q3,2.216885276
USA,CPIFORECAST,TOT,AGRWTH,Q,2003,4,2003-Q4,2.001836547
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,1,2004-Q1,1.8178513
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,2,2004-Q2,2.785870357
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,3,2004-Q3,2.674859931
USA,CPIFORECAST,TOT,AGRWTH,Q,2004,4,2004-Q4,3.384947785
USA,CPIFORECAST,TOT,AGRWTH,Q,2005,1,2005-Q1,3.035172291
USA,CPIFORECAST,TOT,AGRWTH,Q,2005,2,2005-Q2,2.922940655
USA,CPIFORECAST,TOT,AGRWTH,Q,2005,3,2005-Q3,3.819750044
USA,CPIFORECAST,TOT,AGRWTH,Q,2005,4,2005-Q4,3.674677813
USA,CPIFORECAST,TOT,AGRWTH,Q,2006,1,2006-Q1,3.690868134
USA,CPIFORECAST,TOT,AGRWTH,Q,2006,2,2006-Q2,3.924268503
USA,CPIFORECAST,TOT,AGRWTH,Q,2006,3,2006-Q3,3.340115293
USA,CPIFORECAST,TOT,AGRWTH,Q,2006,4,2006-Q4,1.965395599
USA,CPIFORECAST,TOT,AGRWTH,Q,2007,1,2007-Q1,2.43165107
USA,CPIFORECAST,TOT,AGRWTH,Q,2007,2,2007-Q2,2.665286519
USA,CPIFORECAST,TOT,AGRWTH,Q,2007,3,2007-Q3,2.348974569
USA,CPIFORECAST,TOT,AGRWTH,Q,2007,4,2007-Q4,4.031136738
USA,CPIFORECAST,TOT,AGRWTH,Q,2008,1,2008-Q1,4.137035424
USA,CPIFORECAST,TOT,AGRWTH,Q,2008,2,2008-Q2,4.310421315
USA,CPIFORECAST,TOT,AGRWTH,Q,2008,3,2008-Q3,5.252501936
USA,CPIFORECAST,TOT,AGRWTH,Q,2008,4,2008-Q4,1.595802803
USA,CPIFORECAST,TOT,AGRWTH,Q,2009,1,2009-Q1,-0.184236788
USA,CPIFORECAST,TOT,AGRWTH,Q,2009,2,2009-Q2,-0.942140044
USA,CPIFORECAST,TOT,AGRWTH,Q,2009,3,2009-Q3,-1.606956013
USA,CPIFORECAST,TOT,AGRWTH,Q,2009,4,2009-Q4,1.48765638
USA,CPIFORECAST,TOT,AGRWTH,Q,2010,1,2010-Q1,2.352570029
USA,CPIFORECAST,TOT,AGRWTH,Q,2010,2,2010-Q2,1.775273566
USA,CPIFORECAST,TOT,AGRWTH,Q,2010,3,2010-Q3,1.202881591
USA,CPIFORECAST,TOT,AGRWTH,Q,2010,4,2010-Q4,1.229783901
USA,CPIFORECAST,TOT,AGRWTH,Q,2011,1,2011-Q1,2.148217665
USA,CPIFORECAST,TOT,AGRWTH,Q,2011,2,2011-Q2,3.34610641
USA,CPIFORECAST,TOT,AGRWTH,Q,2011,3,2011-Q3,3.715951135
USA,CPIFORECAST,TOT,AGRWTH,Q,2011,4,2011-Q4,3.344727711
USA,CPIFORECAST,TOT,AGRWTH,Q,2012,1,2012-Q1,2.829323361
USA,CPIFORECAST,TOT,AGRWTH,Q,2012,2,2012-Q2,1.887918303
USA,CPIFORECAST,TOT,AGRWTH,Q,2012,3,2012-Q3,1.684859711
USA,CPIFORECAST,TOT,AGRWTH,Q,2012,4,2012-Q4,1.903567832
USA,CPIFORECAST,TOT,AGRWTH,Q,2013,1,2013-Q1,1.740201875
USA,CPIFORECAST,TOT,AGRWTH,Q,2013,2,2013-Q2,1.414723261
USA,CPIFORECAST,TOT,AGRWTH,Q,2013,3,2013-Q3,1.504953424
USA,CPIFORECAST,TOT,AGRWTH,Q,2013,4,2013-Q4,1.207304915
USA,CPIFORECAST,TOT,AGRWTH,Q,2014,1,2014-Q1,1.429907964
USA,CPIFORECAST,TOT,AGRWTH,Q,2014,2,2014-Q2,2.080343612
USA,CPIFORECAST,TOT,AGRWTH,Q,2014,3,2014-Q3,1.790970139
USA,CPIFORECAST,TOT,AGRWTH,Q,2014,4,2014-Q4,1.164005648
USA,CPIFORECAST,TOT,AGRWTH,Q,2015,1,2015-Q1,-0.112893163
USA,CPIFORECAST,TOT,AGRWTH,Q,2015,2,2015-Q2,0.037010091
USA,CPIFORECAST,TOT,AGRWTH,Q,2015,3,2015-Q3,0.158610961
USA,CPIFORECAST,TOT,AGRWTH,Q,2015,4,2015-Q4,0.400469982
USA,CPIFORECAST,TOT,AGRWTH,Q,2016,1,2016-Q1,0.991835029
USA,CPIFORECAST,TOT,AGRWTH,Q,2016,2,2016-Q2,1.110032636
USA,CPIFORECAST,TOT,AGRWTH,Q,2016,3,2016-Q3,1.157147562
USA,CPIFORECAST,TOT,AGRWTH,Q,2016,4,2016-Q4,1.80697985
USA,CPIFORECAST,TOT,AGRWTH,Q,2017,1,2017-Q1,2.58713054
USA,CPIFORECAST,TOT,AGRWTH,Q,2017,2,2017-Q2,1.89058824
USA,CPIFORECAST,TOT,AGRWTH,Q,2017,3,2017-Q3,1.944939334
USA,CPIFORECAST,TOT,AGRWTH,Q,2017,4,2017-Q4,2.107780244
USA,CPIFORECAST,TOT,AGRWTH,Q,2018,1,2018-Q1,2.248617939
USA,CPIFORECAST,TOT,AGRWTH,Q,2018,2,2018-Q2,2.68679338
USA,CPIFORECAST,TOT,AGRWTH,Q,2018,3,2018-Q3,2.60891663
USA,CPIFORECAST,TOT,AGRWTH,Q,2018,4,2018-Q4,2.21351867
USA,CPIFORECAST,TOT,AGRWTH,Q,2019,1,2019-Q1,1.641386963
USA,CPIFORECAST,TOT,AGRWTH,Q,2019,2,2019-Q2,1.81148002
USA,CPIFORECAST,TOT,AGRWTH,Q,2019,3,2019-Q3,1.747677996
USA,CPIFORECAST,TOT,AGRWTH,Q,2019,4,2019-Q4,2.04845324
USA,CPIFORECAST,TOT,AGRWTH,Q,2020,1,2020-Q1,2.126559701
USA,CPIFORECAST,TOT,AGRWTH,Q,2020,2,2020-Q2,0.429172217
USA,CPIFORECAST,TOT,AGRWTH,Q,2020,3,2020-Q3,1.231752478
USA,CPIFORECAST,TOT,AGRWTH,Q,2020,4,2020-Q4,1.224176418
USA,CPIFORECAST,TOT,AGRWTH,Q,2021,1,2021-Q1,1.905310217
USA,CPIFORECAST,TOT,AGRWTH,Q,2021,2,2021-Q2,4.776278178
USA,CPIFORECAST,TOT,AGRWTH,Q,2021,3,2021-Q3,5.264633196
USA,CPIFORECAST,TOT,AGRWTH,Q,2021,4,2021-Q4,6.765891916
USA,CPIFORECAST,TOT,AGRWTH,Q,2022,1,2022-Q1,8.023109143
USA,CPIFORECAST,TOT,AGRWTH,Q,2022,2,2022-Q2,8.556076721
USA,CPIFORECAST,TOT,AGRWTH,Q,2022,3,2022-Q3,8.28485993
USA,CPIFORECAST,TOT,AGRWTH,Q,2022,4,2022-Q4,7.110821413
USA,CPIFORECAST,TOT,AGRWTH,Q,2023,1,2023-Q1,5.769521026
USA,CPIFORECAST,TOT,AGRWTH,Q,2023,2,2023-Q2,4.290032895
USA,CPIFORECAST,TOT,AGRWTH,Q,2023,3,2023-Q3,3.633245505
USA,CPIFORECAST,TOT,AGRWTH,Q,2023,4,2023-Q4,3.248389939
USA,CPIFORECAST,TOT,AGRWTH,Q,2024,1,2024-Q1,2.922893865
USA,CPIFORECAST,TOT,AGRWTH,Q,2024,2,2024-Q2,2.611155077
USA,CPIFORECAST,TOT,AGRWTH,Q,2024,3,2024-Q3,2.458481487
USA,CPIFORECAST,TOT,AGRWTH,Q,2024,4,2024-Q4,2.352119913