LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,QUARTER,TIME,Interest_rate
USA,LTINT,TOT,PC_PA,Q,2000,1,2000-Q1,6.48
USA,LTINT,TOT,PC_PA,Q,2000,2,2000-Q2,6.176667
USA,LTINT,TOT,PC_PA,Q,2000,3,2000-Q3,5.893333
USA,LTINT,TOT,PC_PA,Q,2000,4,2000-Q4,5.566667
USA,LTINT,TOT,PC_PA,Q,2001,1,2001-Q1,5.05
USA,LTINT,TOT,PC_PA,Q,2001,2,2001-Q2,5.27
USA,LTINT,TOT,PC_PA,Q,2001,3,2001-Q3,4.98
USA,LTINT,TOT,PC_PA,Q,2001,4,2001-Q4,4.77
USA,LTINT,TOT,PC_PA,Q,2002,1,2002-Q1,5.076667
USA,LTINT,TOT,PC_PA,Q,2002,2,2002-Q2,5.1
USA,LTINT,TOT,PC_PA,Q,2002,3,2002-Q3,4.26
USA,LTINT,TOT,PC_PA,Q,2002,4,2002-Q4,4.006667
USA,LTINT,TOT,PC_PA,Q,2003,1,2003-Q1,3.92
USA,LTINT,TOT,PC_PA,Q,2003,2,2003-Q2,3.62
USA,LTINT,TOT,PC_PA,Q,2003,3,2003-Q3,4.233333
USA,LTINT,TOT,PC_PA,Q,2003,4,2003-Q4,4.286667
USA,LTINT,TOT,PC_PA,Q,2004,1,2004-Q1,4.02
USA,LTINT,TOT,PC_PA,Q,2004,2,2004-Q2,4.6
USA,LTINT,TOT,PC_PA,Q,2004,3,2004-Q3,4.303333
USA,LTINT,TOT,PC_PA,Q,2004,4,2004-Q4,4.173333
USA,LTINT,TOT,PC_PA,Q,2005,1,2005-Q1,4.296667
USA,LTINT,TOT,PC_PA,Q,2005,2,2005-Q2,4.16
USA,LTINT,TOT,PC_PA,Q,2005,3,2005-Q3,4.213333
USA,LTINT,TOT,PC_PA,Q,2005,4,2005-Q4,4.49
USA,LTINT,TOT,PC_PA,Q,2006,1,2006-Q1,4.57
USA,LTINT,TOT,PC_PA,Q,2006,2,2006-Q2,5.07
USA,LTINT,TOT,PC_PA,Q,2006,3,2006-Q3,4.896667
USA,LTINT,TOT,PC_PA,Q,2006,4,2006-Q4,4.63
USA,LTINT,TOT,PC_PA,Q,2007,1,2007-Q1,4.68
USA,LTINT,TOT,PC_PA,Q,2007,2,2007-Q2,4.846667
USA,LTINT,TOT,PC_PA,Q,2007,3,2007-Q3,4.73
USA,LTINT,TOT,PC_PA,Q,2007,4,2007-Q4,4.26
USA,LTINT,TOT,PC_PA,Q,2008,1,2008-Q1,3.663333
USA,LTINT,TOT,PC_PA,Q,2008,2,2008-Q2,3.886667
USA,LTINT,TOT,PC_PA,Q,2008,3,2008-Q3,3.863333
USA,LTINT,TOT,PC_PA,Q,2008,4,2008-Q4,3.253333
USA,LTINT,TOT,PC_PA,Q,2009,1,2009-Q1,2.736667
USA,LTINT,TOT,PC_PA,Q,2009,2,2009-Q2,3.313333
USA,LTINT,TOT,PC_PA,Q,2009,3,2009-Q3,3.516667
USA,LTINT,TOT,PC_PA,Q,2009,4,2009-Q4,3.46
USA,LTINT,TOT,PC_PA,Q,2010,1,2010-Q1,3.716667
USA,LTINT,TOT,PC_PA,Q,2010,2,2010-Q2,3.49
USA,LTINT,TOT,PC_PA,Q,2010,3,2010-Q3,2.786667
USA,LTINT,TOT,PC_PA,Q,2010,4,2010-Q4,2.863333
USA,LTINT,TOT,PC_PA,Q,2011,1,2011-Q1,3.46
USA,LTINT,TOT,PC_PA,Q,2011,2,2011-Q2,3.21
USA,LTINT,TOT,PC_PA,Q,2011,3,2011-Q3,2.426667
USA,LTINT,TOT,PC_PA,Q,2011,4,2011-Q4,2.046667
USA,LTINT,TOT,PC_PA,Q,2012,1,2012-Q1,2.036667
USA,LTINT,TOT,PC_PA,Q,2012,2,2012-Q2,1.823333
USA,LTINT,TOT,PC_PA,Q,2012,3,2012-Q3,1.643333
USA,LTINT,TOT,PC_PA,Q,2012,4,2012-Q4,1.706667
USA,LTINT,TOT,PC_PA,Q,2013,1,2013-Q1,1.95
USA,LTINT,TOT,PC_PA,Q,2013,2,2013-Q2,1.996667
USA,LTINT,TOT,PC_PA,Q,2013,3,2013-Q3,2.71
USA,LTINT,TOT,PC_PA,Q,2013,4,2013-Q4,2.746667
USA,LTINT,TOT,PC_PA,Q,2014,1,2014-Q1,2.763333
USA,LTINT,TOT,PC_PA,Q,2014,2,2014-Q2,2.623333
USA,LTINT,TOT,PC_PA,Q,2014,3,2014-Q3,2.496667
USA,LTINT,TOT,PC_PA,Q,2014,4,2014-Q4,2.28
USA,LTINT,TOT,PC_PA,Q,2015,1,2015-Q1,1.966667
USA,LTINT,TOT,PC_PA,Q,2015,2,2015-Q2,2.166667
USA,LTINT,TOT,PC_PA,Q,2015,3,2015-Q3,2.22
USA,LTINT,TOT,PC_PA,Q,2015,4,2015-Q4,2.19
USA,LTINT,TOT,PC_PA,Q,2016,1,2016-Q1,1.92
USA,LTINT,TOT,PC_PA,Q,2016,2,2016-Q2,1.753333
USA,LTINT,TOT,PC_PA,Q,2016,3,2016-Q3,1.563333
USA,LTINT,TOT,PC_PA,Q,2016,4,2016-Q4,2.13
USA,LTINT,TOT,PC_PA,Q,2017,1,2017-Q1,2.443333
USA,LTINT,TOT,PC_PA,Q,2017,2,2017-Q2,2.263333
USA,LTINT,TOT,PC_PA,Q,2017,3,2017-Q3,2.243333
USA,LTINT,TOT,PC_PA,Q,2017,4,2017-Q4,2.37
USA,LTINT,TOT,PC_PA,Q,2018,1,2018-Q1,2.76
USA,LTINT,TOT,PC_PA,Q,2018,2,2018-Q2,2.92
USA,LTINT,TOT,PC_PA,Q,2018,3,2018-Q3,2.926667
USA,LTINT,TOT,PC_PA,Q,2018,4,2018-Q4,3.033333
USA,LTINT,TOT,PC_PA,Q,2019,1,2019-Q1,2.653333
USA,LTINT,TOT,PC_PA,Q,2019,2,2019-Q2,2.333333
USA,LTINT,TOT,PC_PA,Q,2019,3,2019-Q3,1.796667
USA,LTINT,TOT,PC_PA,Q,2019,4,2019-Q4,1.793333
USA,LTINT,TOT,PC_PA,Q,2020,1,2020-Q1,1.376667
USA,LTINT,TOT,PC_PA,Q,2020,2,2020-Q2,0.6866667
USA,LTINT,TOT,PC_PA,Q,2020,3,2020-Q3,0.65
USA,LTINT,TOT,PC_PA,Q,2020,4,2020-Q4,0.8633333
USA,LTINT,TOT,PC_PA,Q,2021,1,2021-Q1,1.316667
USA,LTINT,TOT,PC_PA,Q,2021,2,2021-Q2,1.593333
USA,LTINT,TOT,PC_PA,Q,2021,3,2021-Q3,1.323333
USA,LTINT,TOT,PC_PA,Q,2021,4,2021-Q4,1.536667
USA,LTINT,TOT,PC_PA,Q,2022,1,2022-Q1,1.94
USA,LTINT,TOT,PC_PA,Q,2022,2,2022-Q2,2.93
USA,LTINT,TOT,PC_PA,Q,2022,3,2022-Q3,3.106667
USA,LTINT,TOT,PC_PA,Q,2022,4,2022-Q4,3.83
USA,LTINT,TOT,PC_PA,Q,2023,1,2023-Q1,3.646667